img_index,cam_tx,cam_ty,cam_tz,cam_rx,cam_ry,cam_rz
0,0.010816836876777884,-0.08248202671224829,0.33062892892884693,0.3436875132015455,-0.0881253573563167,1.4168688401901126
1,-0.08291591237051439,-0.13464496469058343,0.38784095710136895,0.4201665508222549,0.03407520446641176,1.5543484434725063
2,0.12606689867760507,-0.14821773168865757,0.4585508186877983,0.6105913640417523,-0.1814429543825339,1.5517212013010186
3,0.04725616389615997,0.023873325630277897,0.3300532627326846,0.13901895220490756,-0.1425867029704416,1.7552901497870903
4,0.08924325007669529,-0.07611783540225317,0.28065226443618074,-0.4651753931640564,0.0867909985392244,1.930610135746933
5,-0.02160630389595333,-0.10895602067047504,0.32634032607537766,-0.034498757830688606,0.6517969606053685,1.8225646394178292
6,0.15991445653346031,-0.08250714027931569,0.34490675027667805,-0.04122534767111611,0.5732446898499174,1.9516135692608039
7,0.10903768776564379,-0.035750975334089385,0.37011071697621895,0.31543550757624833,0.32556322454173886,1.3284616045754922
8,0.09225203457262032,-0.14654130387786246,0.3951788740025178,-0.21882274996363565,0.8692367771576941,1.1918349204589131
9,0.1566476231528557,-0.12898514810635883,0.35834928408313466,-0.3026797235338374,0.5631139753650594,1.5391010909103848
10,0.12453587179519797,-0.0006663865644716177,0.3843037898041903,0.4587847889770324,-0.0793411848924949,1.6843634682322968
11,0.11637208651698956,-0.11583546705178752,0.3567815530030212,0.7769923951841817,-0.17507939999778943,1.6412434762296468
12,0.050861520622346716,-0.1732625421288851,0.44421080732055546,0.5179820010816242,0.34299430180885704,1.6769917466924915
13,0.013914186866467036,-0.16256511256419323,0.41454533410209515,-0.2858730631329515,0.6150439778462247,1.7872664898388904
14,-0.12856122577687126,-0.19594932006246338,0.46218010007663757,0.08156113856620754,0.609944001199183,1.4357246601137479
15,-0.16418914428728484,-0.12763037144154882,0.46407274742693105,0.2539375888303911,0.3339743252751836,0.4188685408875877
16,0.040179155872891906,-0.14194063527835993,0.41855749207946585,0.29507615015872696,-0.33009687068964194,0.03572827391791223
17,0.041910150637699206,-0.09572493899809835,0.44578082546654374,0.5182624952236728,-0.30254454953360244,-0.11669760217204085
19,-0.09928775969501542,-0.1293905121167736,0.459972263983331,-0.08051779337014589,0.19653349359086145,-0.026223139391885697
20,0.034956604976582546,-0.16441959730824146,0.4749967102835722,-0.009343201091336198,-0.014544547734887895,-0.050812463728818535
21,0.03765295312270224,-0.01823461462391312,0.5334991917489936,0.4720521023285109,0.5116725194956339,-1.5146769855650475
22,-0.029558404813187243,-0.1803708070024954,0.6481856431550364,0.19571315096196473,0.7294475760328709,-1.2677011162391107
23,-0.05389885118450951,-0.1240837118755364,0.5382042029478695,0.2780049102713507,0.15223226541965862,-0.9675156794280145
24,-0.040412071919312724,-0.0405070336137423,0.35493614927212414,0.08507246904160633,-0.07111347045147356,-1.1405749151998397
